found_molecular_formula	found_inchi	found_pepmass	found_smiles	found_name	searched_smiles	searched_name	cosine_greedy_score
C17H14O4	InChI=1S/C17H14O4/c1-10-13(20-2)9-15-16(17(10)19)12(18)8-14(21-15)11-6-4-3-5-7-11/h3-9,19H,1-2H3	283.096484928	COc1cc2oc(-c3ccccc3)cc(=O)c2c(O)c1C	QXJMWAGIFVRLTO	CC[C@@H](C)C(=O)N(C)CC[C@@H](C)C[C@H](C)[C@H](C)CC1=N[C@@H](CS1)C=C	Kalkitoxin M+H	0.9722198
C19H17NO4	InChI=1S/C19H17NO4/c1-20-14-2-10-4-16-18(23-8-21-16)6-12(10)15(20)3-11-5-17-19(7-13(11)14)24-9-22-17/h4-7,14-15H,2-3,8-9H2,1H3/t14-,15-/m1/s1	324.123034024	CN1C2Cc3cc4c(cc3C1Cc1cc3c(cc12)OCO3)OCO4	PGINMPJZCWDQNT	CCCCCCCCC(C)[C@@H]([C@H](C)C(=O)N1CCC[C@H]1C(=O)O)OC(=O)C	Tumonoic_acid_F M+H	0.97177154
C9H9Cl3O3	InChI=1S/C9H9Cl3O3/c1-13-7-5(11)4(10)6(12)8(14-2)9(7)15-3/h1-3H3	270.969003188	COc1c(Cl)c(Cl)c(Cl)c(OC)c1OC	JDWAFWGCMUKWGJ	CC(C)[C@@H](/C=C(\C)/C(=O)O)N(C)C(=O)[C@H](C(C)C)NC(=O)[C@H](CO)N=C(N)N	Cryptomaldamide M+H	0.97052705
C21H22N2O3	InChI=1S/C21H22N2O3/c24-18-10-16-19-13-9-17-21(6-7-23(17,25)11-12(13)5-8-26-16)14-3-1-2-4-15(14)22(18)20(19)21/h1-5,13,16-17,19-20H,6-11H2	351.170318564	O=C1CC2OCC=C3C[N+]4([O-])CCC56c7ccccc7N1C5C2C3CC64	ADTDBAKUQAKBGZ	N/A	Kalkitoxin_thioamide_alcohol M+H	0.9702325
C18H18O3	InChI=1S/C18H18O3/c1-10-16(11(2)18(20-4)12(3)17(10)19)15-9-13-7-5-6-8-14(13)21-15/h5-9,19H,1-4H3	283.13287043599996	COc1c(C)c(O)c(C)c(-c2cc3ccccc3o2)c1C	GNIVXBUUCHPMOA	CC[C@@H](C)C(=O)N(C)CC[C@@H](C)C[C@H](C)[C@H](C)CC1=N[C@@H](CS1)C=C	Kalkitoxin M+H	0.9700938
C12H9NO3	InChI=1S/C12H9NO3/c1-15-11-7-5-6-16-12(7)13-8-3-2-4-9(14)10(8)11/h2-6,14H,1H3	216.065519148	COc1c2ccoc2nc2cccc(O)c12	RYKRILSIHAQLRC	C/C=C(/C)\C(=O)OCC1=NC=CC2=C1C(=O)C(=C(C2=O)C)OC	Renierone M+H	0.9694771
C12H9NO3	InChI=1S/C12H9NO3/c1-15-11-8-3-2-7(14)6-10(8)13-12-9(11)4-5-16-12/h2-6,14H,1H3	216.065519148	COc1c2ccc(O)cc2nc2occc12	AZJIOEVMDIMLQX	C/C=C(/C)\C(=O)OCC1=NC=CC2=C1C(=O)C(=C(C2=O)C)OC	Renierone M+H	0.968858
C21H22N2O3	InChI=1S/C21H22N2O3/c24-12-1-2-15-14(7-12)21-4-5-22-10-11-3-6-26-16-9-18(25)23(15)20(21)19(16)13(11)8-17(21)22/h1-3,7,13,16-17,19-20,24H,4-6,8-10H2	351.170318564	O=C1CC2OCC=C3CN4CCC56c7cc(O)ccc7N1C5C2C3CC46	LTUSPDUPSHDPTN	N/A	Kalkitoxin_thioamide_alcohol M+H	0.968676
C16H10O5	InChI=1S/C16H10O5/c1-7-3-2-4-11-13(7)15-14(16(19)21-11)8-5-9(17)10(18)6-12(8)20-15/h2-6,17-18H,1H3	283.06009942	Cc1cccc2oc(=O)c3c4cc(O)c(O)cc4oc3c12	BAEPLXZETIZHEU	CC[C@@H](C)C(=O)N(C)CC[C@@H](C)C[C@H](C)[C@H](C)CC1=N[C@@H](CS1)C=C	Kalkitoxin M+H	0.9683263
C17H14O4	InChI=1S/C17H14O4/c1-19-14-9-8-13-16(17(14)20-2)12(18)10-15(21-13)11-6-4-3-5-7-11/h3-10H,1-2H3	283.096484928	COc1ccc2oc(-c3ccccc3)cc(=O)c2c1OC	GHLJEZSMMHWXTR	CC[C@@H](C)C(=O)N(C)CC[C@@H](C)C[C@H](C)[C@H](C)CC1=N[C@@H](CS1)C=C	Kalkitoxin M+H	0.96751577
C17H18N2O2	InChI=1S/C17H18N2O2/c1-2-10-3-4-14-16-12(5-6-19(14)9-10)13-7-11(20)8-15(21)17(13)18-16/h2-4,7-9,12,14,16,18,20-21H,1,5-6H2	283.144103816	C=CC1=CN2CCC3c4cc(O)cc(O)c4NC3C2C=C1	DDAUXRDWUUJUIC	CC[C@@H](C)C(=O)N(C)CC[C@@H](C)C[C@H](C)[C@H](C)CC1=N[C@@H](CS1)C=C	Kalkitoxin M+H	0.96673
C13H12N2O	InChI=1S/C13H12N2O/c1-8-13-11(5-6-14-8)10-4-3-9(16-2)7-12(10)15-13/h3-7,15H,1-2H3	213.102239004	COc1ccc2c(c1)[nH]c1c(C)nccc12	BXNJHAXVSOCGBA	CC[C@H]1[C@@H]2C[C@H]3[C@@H]([C@H]2/C=C\C/C=C\CCCCC(=O)O1)O3	Ecklonialactone_A M+H	0.96652395
C16H10O5	InChI=1S/C16H10O5/c17-11-7-14(21-13-4-2-1-3-10(11)13)9-5-12(18)16-15(6-9)19-8-20-16/h1-7,18H,8H2	283.06009942	O=c1cc(-c2cc(O)c3c(c2)OCO3)oc2ccccc12	XTTVCNYMNOXRSY	CC[C@@H](C)C(=O)N(C)CC[C@@H](C)C[C@H](C)[C@H](C)CC1=N[C@@H](CS1)C=C	Kalkitoxin M+H	0.9664029
C17H14O4	InChI=1S/C17H14O4/c1-19-12-7-11(8-13(9-12)20-2)17-10-15(18)14-5-3-4-6-16(14)21-17/h3-10H,1-2H3	283.096484928	COc1cc(OC)cc(-c2cc(=O)c3ccccc3o2)c1	KXKCAWTVONUDBH	CC[C@@H](C)C(=O)N(C)CC[C@@H](C)C[C@H](C)[C@H](C)CC1=N[C@@H](CS1)C=C	Kalkitoxin M+H	0.96636474
C15H21N	InChI=1S/C15H21N/c1-10(2)13-7-5-11(3)14-8-6-12(4)16-15(14)9-13/h6,8,11,13H,1,5,7,9H2,2-4H3	216.174675672	C=C(C)C1CCC(C)c2ccc(C)nc2C1	RVJOTNIWFWVNRS	C/C=C(/C)\C(=O)OCC1=NC=CC2=C1C(=O)C(=C(C2=O)C)OC	Renierone M+H	0.966251
C16H10O5	InChI=1S/C16H10O5/c1-20-11-5-8-3-2-7-4-9(17)6-10-12(7)13(8)14(15(11)18)16(19)21-10/h2-6,17-18H,1H3	283.06009942	COc1cc2ccc3cc(O)cc4oc(=O)c(c1O)c2c34	ALAISIZALDGSME	CC[C@@H](C)C(=O)N(C)CC[C@@H](C)C[C@H](C)[C@H](C)CC1=N[C@@H](CS1)C=C	Kalkitoxin M+H	0.9660636
C16H10O5	InChI=1S/C16H10O5/c17-10-3-1-9(2-4-10)12-7-19-13-6-15-14(20-8-21-15)5-11(13)16(12)18/h1-7,17H,8H2	283.06009942	O=c1c(-c2ccc(O)cc2)coc2cc3c(cc12)OCO3	CGQIQSHSLSNQMC	CC[C@@H](C)C(=O)N(C)CC[C@@H](C)C[C@H](C)[C@H](C)CC1=N[C@@H](CS1)C=C	Kalkitoxin M+H	0.965371
C13H12N2O	InChI=1S/C13H12N2O/c1-8-6-14-7-12-13(8)10-4-3-9(16-2)5-11(10)15-12/h3-7,15H,1-2H3	213.102239004	COc1ccc2c(c1)[nH]c1cncc(C)c12	VJHLDRVYTQNASM	CC[C@H]1[C@@H]2C[C@H]3[C@@H]([C@H]2/C=C\C/C=C\CCCCC(=O)O1)O3	Ecklonialactone_A M+H	0.9653418
C12H10O8	InChI=1S/C12H10O8/c1-19-11-7(15)3-4(5(13)9(11)17)8(16)12(20-2)10(18)6(3)14/h13,15,17-18H,1-2H3	283.04484328	COC1=C(O)C(=O)c2c(O)c(OC)c(O)c(O)c2C1=O	BUQCCKGDZNYHGQ	CC[C@@H](C)C(=O)N(C)CC[C@@H](C)C[C@H](C)[C@H](C)CC1=N[C@@H](CS1)C=C	Kalkitoxin M+H	0.96520764
C17H14O4	InChI=1S/C17H14O4/c1-10-14(20-2)8-12(18)16-13(19)9-15(21-17(10)16)11-6-4-3-5-7-11/h3-9,18H,1-2H3	283.096484928	COc1cc(O)c2c(=O)cc(-c3ccccc3)oc2c1C	VDKXRVIDXUDLFE	CC[C@@H](C)C(=O)N(C)CC[C@@H](C)C[C@H](C)[C@H](C)CC1=N[C@@H](CS1)C=C	Kalkitoxin M+H	0.965071
C17H14O4	InChI=1S/C17H14O4/c1-9-5-13(19)17-14(20)8-15(21-16(17)6-9)11-3-4-12(18)10(2)7-11/h3-8,18-19H,1-2H3	283.096484928	Cc1cc(O)c2c(=O)cc(-c3ccc(O)c(C)c3)oc2c1	WHDYZMQZOAULDI	CC[C@@H](C)C(=O)N(C)CC[C@@H](C)C[C@H](C)[C@H](C)CC1=N[C@@H](CS1)C=C	Kalkitoxin M+H	0.9645004
C21H16FN3OS	InChI=1S/C21H16FN3OS/c1-27(26)18-8-4-16(5-9-18)21-24-19(14-2-6-17(22)7-3-14)20(25-21)15-10-12-23-13-11-15/h2-13H,1H3,(H,24,25)	378.10708735199995	C[S+]([O-])c1ccc(-c2nc(-c3ccncc3)c(-c3ccc(F)cc3)[nH]2)cc1	CDMGBJANTYXAIV	N/A	Malyngamide U/V/W M+H	0.9641004
C17H14O4	InChI=1S/C17H14O4/c1-2-3-10-4-5-15-11(6-10)7-16(21-15)17-13(19)8-12(18)9-14(17)20/h2-9,18-20H,1H3	283.096484928	CC=Cc1ccc2oc(-c3c(O)cc(O)cc3O)cc2c1	SXPAJVVJLHSKEO	CC[C@@H](C)C(=O)N(C)CC[C@@H](C)C[C@H](C)[C@H](C)CC1=N[C@@H](CS1)C=C	Kalkitoxin M+H	0.96397936
C17H14O4	InChI=1S/C17H14O4/c1-10-7-16-13(8-15(10)20-2)17(19)14(9-21-16)11-3-5-12(18)6-4-11/h3-9,18H,1-2H3	283.096484928	COc1cc2c(=O)c(-c3ccc(O)cc3)coc2cc1C	XBFUMBUCUCWFSI	CC[C@@H](C)C(=O)N(C)CC[C@@H](C)C[C@H](C)[C@H](C)CC1=N[C@@H](CS1)C=C	Kalkitoxin M+H	0.9639411
C13H12N2O	InChI=1S/C13H12N2O/c1-8-13-10-4-3-9(16-2)7-12(10)15-11(13)5-6-14-8/h3-7,15H,1-2H3	213.102239004	COc1ccc2c(c1)[nH]c1ccnc(C)c12	YUTSOUNFJWFJJV	CC[C@H]1[C@@H]2C[C@H]3[C@@H]([C@H]2/C=C\C/C=C\CCCCC(=O)O1)O3	Ecklonialactone_A M+H	0.9634622
C16H10O5	InChI=1S/C16H10O5/c17-10-2-3-11-14(6-10)19-7-12(16(11)18)9-1-4-13-15(5-9)21-8-20-13/h1-7,17H,8H2	283.06009942	O=c1c(-c2ccc3c(c2)OCO3)coc2cc(O)ccc12	KNJNBKINYHZUGC	CC[C@@H](C)C(=O)N(C)CC[C@@H](C)C[C@H](C)[C@H](C)CC1=N[C@@H](CS1)C=C	Kalkitoxin M+H	0.9631419
C13H12N2O	InChI=1S/C13H12N2O/c1-8-13-10(5-6-14-8)11-7-9(16-2)3-4-12(11)15-13/h3-7,15H,1-2H3	213.102239004	COc1ccc2[nH]c3c(C)nccc3c2c1	XYYVPBBISSKKQB	CC[C@H]1[C@@H]2C[C@H]3[C@@H]([C@H]2/C=C\C/C=C\CCCCC(=O)O1)O3	Ecklonialactone_A M+H	0.96309227
C19H15NO4	InChI=1S/C19H15NO4/c1-23-17-8-13-10(7-16(17)22)3-4-12-11-5-6-15(21)19(24-2)14(11)9-20-18(12)13/h3-9,21-22H,1-2H3	322.10738396	COc1cc2c(ccc3c4ccc(O)c(OC)c4cnc23)cc1O	CVBAYCBNRCIGDN	CCCCCCC/C=C(\C)/[C@H]([C@@H](C)C(=O)N1CCC[C@H]1C(=O)O)O	Tumonoic acid A M+H	0.96308607
C16H14N2O3	InChI=1S/C16H14N2O3/c1-8-4-12(19)17(3)14-10(8)6-11-9(2)5-13(20)18-7-21-16(14)15(11)18/h4-6H,7H2,1-3H3	283.107718308	Cc1cc(=O)n(C)c2c3c4c(cc12)c(C)cc(=O)n4CO3	SBTFHJGTXHMDPR	CC[C@@H](C)C(=O)N(C)CC[C@@H](C)C[C@H](C)[C@H](C)CC1=N[C@@H](CS1)C=C	Kalkitoxin M+H	0.9629173
C12H9NO3	InChI=1S/C12H9NO3/c1-15-11-9(14)3-2-7-6-8-4-5-16-12(8)13-10(7)11/h2-6,14H,1H3	216.065519148	COc1c(O)ccc2cc3ccoc3nc12	GKLKPKWXRMWBES	C/C=C(/C)\C(=O)OCC1=NC=CC2=C1C(=O)C(=C(C2=O)C)OC	Renierone M+H	0.96280926
C12H10O8	InChI=1S/C12H10O8/c1-19-11-7(15)4-3(5(13)9(11)17)6(14)10(18)12(20-2)8(4)16/h13,15,17-18H,1-2H3	283.04484328	COC1=C(O)C(=O)c2c(O)c(O)c(OC)c(O)c2C1=O	CFZQFKWRRRWHJI	CC[C@@H](C)C(=O)N(C)CC[C@@H](C)C[C@H](C)[C@H](C)CC1=N[C@@H](CS1)C=C	Kalkitoxin M+H	0.96167105
C15H16O	InChI=1S/C15H16O/c1-15(2)6-3-4-11-8-13(15)10-12-5-7-16-14(12)9-11/h3-5,7,9-10H,6,8H2,1-2H3	213.127391132	CC1(C)CC=CC2=Cc3occc3C=C1C2	JKYQZVRIQNFMHF	CC[C@H]1[C@@H]2C[C@H]3[C@@H]([C@H]2/C=C\C/C=C\CCCCC(=O)O1)O3	Ecklonialactone_A M+H	0.96164936
C17H14O4	InChI=1S/C17H14O4/c1-10-7-13(18)17-14(19)9-15(21-16(17)8-10)11-3-5-12(20-2)6-4-11/h3-9,18H,1-2H3	283.096484928	COc1ccc(-c2cc(=O)c3c(O)cc(C)cc3o2)cc1	BSEYWXDBSOCPQP	CC[C@@H](C)C(=O)N(C)CC[C@@H](C)C[C@H](C)[C@H](C)CC1=N[C@@H](CS1)C=C	Kalkitoxin M+H	0.9615976
C17H14O4	InChI=1S/C17H14O4/c1-19-15-9-5-7-12(17(15)20-2)16-10-13(18)11-6-3-4-8-14(11)21-16/h3-10H,1-2H3	283.096484928	COc1cccc(-c2cc(=O)c3ccccc3o2)c1OC	OHEGMEUWGGBBHR	CC[C@@H](C)C(=O)N(C)CC[C@@H](C)C[C@H](C)[C@H](C)CC1=N[C@@H](CS1)C=C	Kalkitoxin M+H	0.9615716
C15H16O	InChI=1S/C15H16O/c1-15(2,12-6-4-3-5-7-12)13-8-10-14(16)11-9-13/h3-11,16H,1-2H3	213.127391132	CC(C)(c1ccccc1)c1ccc(O)cc1	QBDSZLJBMIMQRS	CC[C@H]1[C@@H]2C[C@H]3[C@@H]([C@H]2/C=C\C/C=C\CCCCC(=O)O1)O3	Ecklonialactone_A M+H	0.9613092
C12H9NO3	InChI=1S/C12H9NO3/c1-15-9-4-2-3-7-10(9)13-12-8(11(7)14)5-6-16-12/h2-6H,1H3,(H,13,14)	216.065519148	COc1cccc2c(O)c3ccoc3nc12	XJLOVYIDLDOPFY	C/C=C(/C)\C(=O)OCC1=NC=CC2=C1C(=O)C(=C(C2=O)C)OC	Renierone M+H	0.96116805
C19H15NO4	InChI=1S/C19H15NO4/c1-20-8-7-10-9-13(24-3)19(22)16-14(10)17(20)18(21)11-5-4-6-12(23-2)15(11)16/h4-9H,1-3H3	322.10738396	COC1=Cc2cc[n+](C)c3c([O-])c4cccc(OC)c4c(c23)C1=O	OMDCZRXXLIFJJL	CCCCCCC/C=C(\C)/[C@H]([C@@H](C)C(=O)N1CCC[C@H]1C(=O)O)O	Tumonoic acid A M+H	0.960412
C18H23N2O+	InChI=1S/C18H23N2O/c1-2-13-12-20-9-7-14(13)11-18(20)17(21,8-10-20)15-5-3-4-6-16(15)19-18/h2-6,14,19,21H,7-12H2,1H3/q+1/b13-2+/t14-,17-,18+,20+/m0/s1	284.18776577609	CC=C1C[N+]23CCC1CC21Nc2ccccc2C1(O)CC3	BNSIQHPLNBBXLR	CC[C@@H](C)C(=O)N(C)CC[C@@H](C)C[C@H](C)[C@H](C)CC1=N[C@@H](CS1)C=C	Kalkitoxin M+H	0.9602042
C16H10O5	InChI=1S/C16H10O5/c1-20-15-10(18)5-8-3-2-7-4-9(17)6-11-12(7)13(8)14(15)16(19)21-11/h2-6,17-18H,1H3	283.06009942	COc1c(O)cc2ccc3cc(O)cc4oc(=O)c1c2c34	DJDCEDBSCTXNAB	CC[C@@H](C)C(=O)N(C)CC[C@@H](C)C[C@H](C)[C@H](C)CC1=N[C@@H](CS1)C=C	Kalkitoxin M+H	0.9601269
C17H14O4	InChI=1S/C17H14O4/c1-9-7-13(19)15-14(8-9)21-17(10(2)16(15)20)11-3-5-12(18)6-4-11/h3-8,18-19H,1-2H3	283.096484928	Cc1cc(O)c2c(=O)c(C)c(-c3ccc(O)cc3)oc2c1	XZJNDLLLZPNPSA	CC[C@@H](C)C(=O)N(C)CC[C@@H](C)C[C@H](C)[C@H](C)CC1=N[C@@H](CS1)C=C	Kalkitoxin M+H	0.9599674
C17H13N3O3	InChI=1S/C17H13N3O3/c1-10-14-19-16-12(7-4-5-9-23-16)17(22)20(14)13-8-3-2-6-11(13)15(21)18-10/h2-10H,1H3,(H,18,21)/t10-/m0/s1	308.10296727599996	CC1N=C(O)c2ccccc2-n2c1nc1c(c2=O)C=CC=CO1	QAMUEVCOVRRFPK	CCCCC(C)\C=C(/C)C(O)C(C)C(=O)N1CCC[C@H]1C(O)=O	Tumonoic acid E M+H	0.95995855
C21H22N2O3	InChI=1S/C21H22N2O3/c24-14-3-1-2-13-19(14)23-17(25)9-15-18-12-8-16-21(13,20(18)23)5-6-22(16)10-11(12)4-7-26-15/h1-4,12,15-16,18,20,24H,5-10H2	351.170318564	O=C1CC2OCC=C3CN4CCC56c7cccc(O)c7N1C5C2C3CC46	NZPSURVTGWFING	N/A	Kalkitoxin_thioamide_alcohol M+H	0.9598901
C9H9Cl3O3	InChI=1S/C9H9Cl3O3/c1-13-7-4(10)5(11)8(14-2)9(15-3)6(7)12/h1-3H3	270.969003188	COc1c(Cl)c(Cl)c(OC)c(OC)c1Cl	KXJYBKPCIVMGSO	CC(C)[C@@H](/C=C(\C)/C(=O)O)N(C)C(=O)[C@H](C(C)C)NC(=O)[C@H](CO)N=C(N)N	Cryptomaldamide M+H	0.95986474
C20H12ClN3OS	InChI=1S/C20H12ClN3OS/c21-13-9-22-19-17(13)11-5-1-3-7-14(11)23-18(19)15-10-26-20(24-15)12-6-2-4-8-16(12)25/h1-10,22,25H	378.046236684	Oc1ccccc1-c1nc(-c2nc3ccccc3c3c(Cl)c[nH]c23)cs1	XBMMXHKKPWDRNN	N/A	Malyngamide U/V/W M+H	0.95967466
C17H14O4	InChI=1S/C17H14O4/c1-19-14-9-8-12-13(18)10-15(11-6-4-3-5-7-11)21-16(12)17(14)20-2/h3-10H,1-2H3	283.096484928	COc1ccc2c(=O)cc(-c3ccccc3)oc2c1OC	KJRQQECDVUXBCO	CC[C@@H](C)C(=O)N(C)CC[C@@H](C)C[C@H](C)[C@H](C)CC1=N[C@@H](CS1)C=C	Kalkitoxin M+H	0.959531
C16H10O5	InChI=1S/C16H10O5/c1-19-9-3-5-11-13(7-9)21-16(18)14-10-4-2-8(17)6-12(10)20-15(11)14/h2-7,17H,1H3	283.06009942	COc1ccc2c(c1)oc(=O)c1c3ccc(O)cc3oc21	YQBVKPREVBFWSA	CC[C@@H](C)C(=O)N(C)CC[C@@H](C)C[C@H](C)[C@H](C)CC1=N[C@@H](CS1)C=C	Kalkitoxin M+H	0.95950645
C17H14O4	InChI=1S/C17H14O4/c1-19-15-8-7-11(9-17(15)20-2)16-10-13(18)12-5-3-4-6-14(12)21-16/h3-10H,1-2H3	283.096484928	COc1ccc(-c2cc(=O)c3ccccc3o2)cc1OC	ZGHORMOOTZTQFL	CC[C@@H](C)C(=O)N(C)CC[C@@H](C)C[C@H](C)[C@H](C)CC1=N[C@@H](CS1)C=C	Kalkitoxin M+H	0.95950556
C12H14N2O6	InChI=1S/C12H14N2O6/c1-13-9(15)5(7(19-3)11(13)17)6-8(20-4)12(18)14(2)10(6)16/h11,17H,1-4H3/t11-/m1/s1	283.092462168	COC1=C(C2=C(OC)C(O)N(C)C2=O)C(=O)N(C)C1=O	ORTYNVRHBHRAKL	CC[C@@H](C)C(=O)N(C)CC[C@@H](C)C[C@H](C)[C@H](C)CC1=N[C@@H](CS1)C=C	Kalkitoxin M+H	0.95946217
C13H13NO2	InChI=1S/C13H13NO2/c15-12-11(9-5-2-1-3-6-9)10-7-4-8-14(10)13(12)16/h1-3,5-6,10,15H,4,7-8H2	216.101904656	O=C1C(O)=C(c2ccccc2)C2CCCN12	APSZCQZJXWEGJS	C/C=C(/C)\C(=O)OCC1=NC=CC2=C1C(=O)C(=C(C2=O)C)OC	Renierone M+H	0.9593103
C15H22O5	InChI=1S/C15H22O5/c1-8-4-5-11-9(2)12(16)17-13-15(11)10(8)6-7-14(3,18-13)19-20-15/h8-11,13H,4-7H2,1-3H3	283.153999804	CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4	BLUAFEHZUWYNDE	CC[C@@H](C)C(=O)N(C)CC[C@@H](C)C[C@H](C)[C@H](C)CC1=N[C@@H](CS1)C=C	Kalkitoxin M+H	0.9588088
C14H16N2	InChI=1S/C14H16N2/c1-2-5-12-10(4-1)11-7-9-16-8-3-6-13(16)14(11)15-12/h1-2,4-5,13,15H,3,6-9H2	213.138624512	c1ccc2c3c([nH]c2c1)C1CCCN1CC3	LXJWBHIVLXMHDZ	CC[C@H]1[C@@H]2C[C@H]3[C@@H]([C@H]2/C=C\C/C=C\CCCCC(=O)O1)O3	Ecklonialactone_A M+H	0.9587
C16H10O5	InChI=1S/C16H10O5/c17-10-6-11(9-4-2-1-3-5-9)21-12-7-13-16(20-8-19-13)15(18)14(10)12/h1-7,18H,8H2	283.06009942	O=c1cc(-c2ccccc2)oc2cc3c(c(O)c12)OCO3	NJIUXIXNVAHRDW	CC[C@@H](C)C(=O)N(C)CC[C@@H](C)C[C@H](C)[C@H](C)CC1=N[C@@H](CS1)C=C	Kalkitoxin M+H	0.9586936
C13H12N2O	InChI=1S/C13H12N2O/c1-8-13-11(5-6-14-8)10-4-3-9(16-2)7-12(10)15-13/h3-7,14H,1-2H3	213.102239004	COc1ccc2c3cc[nH]c(C)c-3nc2c1	CMPGCFZWPMOLAI	CC[C@H]1[C@@H]2C[C@H]3[C@@H]([C@H]2/C=C\C/C=C\CCCCC(=O)O1)O3	Ecklonialactone_A M+H	0.95864034
